id,audienceScore,tomatoMeter,runtimeMinutes,genre,kmeans_cluster
10007893-its_a_boy_girl_thing,61.0,67.0,95.0,"Romance, Comedy",0
10007898-slipstream,29.0,27.0,97.0,"Comedy, Drama, Fantasy, Sci-fi",2
10007902-delirious,57.0,83.0,107.0,"Comedy, Drama",0
10007916_interview,55.0,58.0,84.0,Drama,2
1000792-american_anthem,65.0,0.0,102.0,Drama,2
10007947-ten,40.0,35.0,99.0,Comedy,2
10007985-happening,24.0,18.0,89.0,"Sci-fi, Mystery & thriller",2
10008005-moliere,79.0,69.0,120.0,"Comedy, Drama, History",1
10008041-accused,64.0,100.0,101.0,"Crime, Drama",0
10008065-the_stranger,69.0,46.0,105.0,Drama,2
10008097-lady_chatterley,59.0,77.0,220.0,"Romance, Drama",1
10008126-straightheads,32.0,43.0,88.0,"Drama, Mystery & thriller",2
10008140-borderland,43.0,100.0,104.0,"Mystery & thriller, Horror, Crime, Drama",0
10008200-spiral,59.0,50.0,90.0,"Drama, Mystery & thriller",2
10008234-alexandra,69.0,88.0,95.0,Drama,0
10008259-festival,70.0,100.0,80.0,Documentary,0
10008290-salon,66.0,12.0,99.0,"Comedy, Drama",2
10008354-orange_winter,67.0,50.0,72.0,Documentary,0
10008390_blood_and_tears,33.0,50.0,73.0,Documentary,2
10008411-black_moon,53.0,50.0,100.0,Fantasy,2
10008423-cool_school,63.0,92.0,86.0,Documentary,0
10008436-the_end_of_summer,86.0,100.0,103.0,"Drama, Romance",0
10008466-deep_end,74.0,90.0,90.0,Drama,0
10008496-pathology,39.0,48.0,93.0,Mystery & thriller,2
10008502-christmas_carol,58.0,53.0,95.0,"Kids & family, Holiday, Fantasy, Drama, Animation",2
10008507-deep_water,87.0,96.0,93.0,Documentary,0
10008562-road_to_victory,80.0,78.0,99.0,Drama,0
10008587-beverly_hills_chihuahua,51.0,40.0,91.0,"Kids & family, Comedy, Adventure",2
10008601-fireflies_in_the_garden,45.0,23.0,98.0,Drama,2
10008606-eye,43.0,22.0,97.0,"Horror, Mystery & thriller",2
10008607-day_of_the_dead,22.0,13.0,87.0,"Horror, Mystery & thriller",2
10008611-my_best_friends_girl,46.0,14.0,103.0,"Romance, Comedy",2
10008613-burrowers,34.0,73.0,96.0,"Horror, Mystery & thriller, Western",2
10008617-midnight_meat_train,50.0,73.0,100.0,"Horror, Mystery & thriller",0
10008618-return,54.0,37.0,115.0,Drama,2
10008621-run_fat_boy_run,64.0,46.0,100.0,"Romance, Comedy",2
10008633-if_i_didnt_care,0.0,37.0,80.0,Mystery & thriller,2
10008652-closing_escrow,36.0,54.0,95.0,Comedy,2
10008655-whiteout,21.0,7.0,101.0,Mystery & thriller,2
10008660-price_of_sugar,77.0,74.0,90.0,Documentary,0
10008661-randy_and_the_mob,39.0,56.0,99.0,Comedy,2
10008667-black_irish,58.0,31.0,94.0,Drama,2
10008678-wild_child,61.0,41.0,98.0,Comedy,2
10008687-powder_blue,40.0,25.0,108.0,Drama,2
10008698-king_corn,78.0,96.0,90.0,Documentary,0
10008699-terrors_advocate,66.0,87.0,138.0,Documentary,1
10008700-darfur_now,73.0,73.0,99.0,Documentary,0
10008701-laaga_chunari_mein_daag,58.0,50.0,138.0,Drama,1
10008703-rails_and_ties,58.0,34.0,101.0,Drama,2
10008705-mr_untouchable,55.0,73.0,92.0,Documentary,0
10008706-house,27.0,0.0,88.0,"Mystery & thriller, Horror",2
10008708-o_jerusalem,60.0,35.0,102.0,Drama,2
10008710-hot_blood,43.0,86.0,85.0,"Comedy, Drama",0
10008736-beauty_remains,62.0,50.0,87.0,Drama,2
10008742-my_sister_eileen,67.0,80.0,96.0,Comedy,0
10008744-canvas,62.0,78.0,101.0,Drama,0
10008745-tough_enough,81.0,92.0,98.0,"Crime, Drama",0
10008747-skid_row,55.0,83.0,80.0,Documentary,0
10008748-saawariya,46.0,38.0,146.0,"Drama, Romance",1
10008752-aaja_nachle,72.0,67.0,147.0,"Musical, Drama",1
10008754-flawless,54.0,55.0,106.0,"Crime, Drama",2
10008760-what_happens_in_vegas,37.0,25.0,99.0,"Romance, Comedy",2
10008785-appaloosa,55.0,76.0,116.0,"Western, Drama",1
