id,audienceScore,tomatoMeter,runtimeMinutes,genre,kmeans_cluster
10005222-red_cockroaches,48.0,80.0,82.0,"Drama, Sci-fi",0.0
10005225-a_tout_de_suite,60.0,70.0,95.0,Drama,0.0
10005227-finding_home,54.0,30.0,124.0,Drama,2.0
10005320-drive,72.0,,100.0,"Comedy, Drama",
10005381-parineeta,85.0,,130.0,"Romance, Drama",
10005395-passage,38.0,,99.0,Action,
10005402-chaos,24.0,5.0,76.0,Horror,2.0
10005403-the_baxter,75.0,32.0,91.0,"Romance, Comedy",2.0
10005409-dirty_deeds,44.0,7.0,87.0,Comedy,2.0
10005499-oliver_twist,63.0,60.0,130.0,"Drama, Adventure, Musical",1.0
10005538-room,23.0,69.0,83.0,Drama,2.0
10005582-fantastic_four,32.0,27.0,90.0,"Action, Adventure, Sci-fi, Fantasy",2.0
1000560-alamo,64.0,52.0,192.0,"History, Drama, War, Western",1.0
10005638-firm,81.0,,70.0,Drama,
10005640-marathon,88.0,,121.0,Drama,
10005666-business,84.0,57.0,96.0,"Crime, Drama",0.0
1000575-alchemist,27.0,,84.0,Horror,
10005788-the_sun,79.0,93.0,115.0,"History, Drama",1.0
1000580-alexander_the_great,42.0,0.0,141.0,"History, Drama",2.0
10005802-sisters,86.0,71.0,88.0,Drama,0.0
1000581-alfie,76.0,97.0,114.0,"Comedy, Drama",0.0
10005817-lenfer,72.0,70.0,,,
10005819-10005819-neverwas,65.0,14.0,102.0,Drama,2.0
10005870-backstage,60.0,71.0,115.0,Drama,1.0
10005872-citizen_dog,88.0,100.0,100.0,"Comedy, Fantasy, Romance",0.0
10005897-runaway,,,80.0,"Mystery & thriller, Drama",
10005936-the_shore,,,100.0,"Drama, Mystery & thriller",
10006007-the_second_chance,78.0,44.0,104.0,Drama,0.0
1000601-alices_adventures_in_wonderland,50.0,,96.0,"Kids & family, Musical",
10006019-chocolate,59.0,,159.0,Mystery & thriller,
10006032-everything,68.0,,91.0,Mystery & thriller,
10006046-new_frontier,,,55.0,Western,
10006057-moonlight,67.0,60.0,90.0,Mystery & thriller,0.0
10006100-persona_non_grata,78.0,,110.0,Drama,
10006109-magician,75.0,75.0,85.0,"Drama, Crime",0.0
10006110-dont_tell,91.0,0.0,88.0,Drama,2.0
10006117-racing_against_the_clock,,,,,
10006150-chaos,57.0,,106.0,"Action, Crime, Drama, Mystery & thriller",
1000617-aliens,94.0,98.0,137.0,"Sci-fi, Horror, Action",1.0
10006185-at_last,,0.0,97.0,"Drama, Romance",
10006188-rise,20.0,33.0,97.0,"Horror, Mystery & thriller",2.0
10006207-enemy_of_the_people,52.0,,103.0,Drama,
10006219-ritual,,,89.0,Horror,
1000626-all_about_eve,94.0,99.0,138.0,Drama,1.0
10006270,69.0,42.0,87.0,Comedy,2.0
10006281-nana,82.0,86.0,113.0,Drama,1.0
10006283-broken,50.0,,,,
10006304,58.0,,101.0,"Romance, Comedy",
10006311,,,98.0,Documentary,
10006321,,0.0,87.0,Comedy,
10006322-one_the_movie,96.0,,,,
10006324,58.0,30.0,88.0,"Romance, Comedy, Lgbtq+",2.0
10006326-bluff_master,76.0,,134.0,Comedy,
10006343-dirty,42.0,21.0,97.0,"Crime, Drama, Mystery & thriller",2.0
10006366-allegro,74.0,63.0,88.0,Drama,0.0
10006370-stay_alive,55.0,10.0,85.0,"Horror, Mystery & thriller",2.0
10006380-mortuary,18.0,,100.0,Horror,
1000639-all_night_long,22.0,33.0,88.0,Comedy,2.0
1000640-all_of_me,67.0,85.0,93.0,Comedy,0.0
10006411-play,73.0,,105.0,"Romance, Drama",
10006433-clear_cut,78.0,100.0,72.0,Documentary,0.0
10006470,25.0,17.0,116.0,Drama,2.0
10006474-moonshine,,,77.0,Horror,
10006479,,,78.0,"Drama, Musical",
10006481,,,,,
10006485-black_gold,84.0,84.0,77.0,Documentary,0.0
10006487,75.0,,107.0,Documentary,
10006490,68.0,73.0,135.0,"Documentary, Music",1.0
10006491,93.0,100.0,70.0,Documentary,0.0
10006496-songbirds,,100.0,80.0,Documentary,
10006498,43.0,71.0,78.0,Documentary,2.0
10006537-grandmas_boy,73.0,80.0,60.0,Comedy,0.0
1000654-all_the_kings_men,78.0,97.0,109.0,Drama,0.0
10006569-love,50.0,100.0,93.0,"Mystery & thriller, Drama",0.0
10006570-thirst,67.0,,110.0,Drama,
10006578-truth,,,114.0,Comedy,
10006588-street_fight,93.0,100.0,86.0,Documentary,0.0
10006621-10006621-puzzlehead,48.0,100.0,81.0,Sci-fi,0.0
10006630-life_of_reilly,83.0,98.0,90.0,Documentary,0.0
10006634-rank,74.0,57.0,85.0,Documentary,0.0
10006651-jam,20.0,,83.0,Documentary,
10006731-iowa,17.0,15.0,104.0,Drama,2.0
10006742-six_figures,55.0,83.0,108.0,"Drama, Mystery & thriller",0.0
10006752-feed,45.0,57.0,105.0,Mystery & thriller,2.0
10006780-lost_horizon,46.0,17.0,143.0,Musical,2.0
10006794-love_and_hate,79.0,,85.0,Drama,
10006796-gamers,42.0,,84.0,Comedy,
10006822-we_shall_overcome,82.0,88.0,105.0,Drama,0.0
10006828-klimt,29.0,32.0,95.0,"Biography, Drama",2.0
10006848-the_motel,64.0,88.0,76.0,"Comedy, Drama",0.0
10006849-once_in_a_lifetime,80.0,81.0,97.0,Documentary,0.0
10006856-requiem,66.0,86.0,92.0,Mystery & thriller,0.0
10006878-big_brown_eyes,57.0,86.0,77.0,Mystery & thriller,0.0
10006906-10006906-paradise_texas,,,91.0,Drama,
10006919-flight_93,66.0,,90.0,Drama,
10006930-singer,53.0,94.0,112.0,"Romance, Drama, Musical",0.0
10006940-silk,57.0,40.0,117.0,"Horror, Mystery & thriller",2.0
10006950-the_violin,86.0,94.0,98.0,Drama,0.0
10006952-suburban_mayhem,58.0,20.0,89.0,"Comedy, Drama",2.0
10006953-salvador,83.0,,134.0,"Biography, History, Drama",
10006958-luxury_car,48.0,,88.0,Drama,
10007001-lying,32.0,,94.0,Drama,
10007005-trance,53.0,,126.0,Drama,
10007139-park,48.0,36.0,86.0,Comedy,2.0
10007142-the_4th_dimension,31.0,63.0,82.0,"Drama, Fantasy, Mystery & thriller, Sci-fi",2.0
10007154-four_horsemen_of_the_apocalypse,75.0,80.0,132.0,War,1.0
10007156-long_weekend,38.0,,90.0,Comedy,
10007169-pied_piper,79.0,100.0,86.0,Drama,0.0
10007189-monte_carlo,72.0,,94.0,"Musical, Comedy",
10007259-gift,44.0,,62.0,"Documentary, Lgbtq+",
10007305-close_to_home,63.0,69.0,98.0,Drama,0.0
10007310-lucky_star,90.0,,85.0,"Drama, Romance",
10007311-mans_castle,75.0,71.0,70.0,Romance,0.0
10007322-little_man_what_now,77.0,100.0,91.0,Romance,0.0
10007333-bon_cop_bad_cop,82.0,80.0,116.0,"Comedy, Action",1.0
10007336-macbeth,35.0,49.0,109.0,"Drama, Mystery & thriller",2.0
1000734-amateur,62.0,,112.0,Mystery & thriller,
10007351-hamilton,88.0,83.0,65.0,Drama,0.0
10007368-altruist,,,,,
10007399-10007399-ugly_duckling_and_me,45.0,,90.0,"Kids & family, Comedy, Adventure, Animation",
10007415-amazing_grace,85.0,67.0,116.0,"History, Drama",1.0
10007455-no_place_like_home,,,95.0,Drama,
1000746-amazing_spiderman,53.0,,94.0,Action,
10007530-waiter,60.0,,100.0,"Comedy, Drama",
10007538-silence,39.0,50.0,104.0,"Crime, Drama, Mystery & thriller",2.0
1000754-amazons,0.0,,76.0,"Fantasy, Action, Adventure",
1000755-ambassador,38.0,,95.0,Mystery & thriller,
10007565-truce,71.0,,,,
10007575-end_of_the_line,49.0,,95.0,"Horror, Mystery & thriller",
10007598-cocaine_cowboys,79.0,69.0,116.0,"Documentary, Crime, Drama, History",1.0
10007614-gone,20.0,54.0,88.0,"Mystery & thriller, Horror, Drama",2.0
10007714-situation,58.0,35.0,106.0,"Drama, War",2.0
10007729-screamers,84.0,66.0,89.0,Documentary,0.0
10007755-10007755-maple_palm,,,116.0,"Drama, Romance",
10007784-living_the_dream,52.0,0.0,96.0,Drama,2.0
10007820-guadalupe,70.0,,90.0,"Fantasy, Mystery & thriller",
10007821-snow_blind,,20.0,105.0,Documentary,
10007856-four_sheets_to_the_wind,60.0,100.0,81.0,Drama,0.0
